Eastern Conference, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Sporting Kansas City, ,34,18,9,7,42,27, ,10,4,3,22,12, ,8,5,4,20,15, ,15,63
2,DC United, ,34,17,7,10,53,43, ,12,4,1,37,17, ,5,3,9,16,26, ,10,58
3,New York Red Bulls, ,34,16,9,9,57,46, ,11,4,2,34,18, ,5,5,7,23,28, ,11,57
4,Chicago Fire, ,34,17,6,11,46,41, ,11,3,3,27,18, ,6,3,8,19,23, ,5,57
5,Houston Dynamo, ,34,14,11,9,48,41, ,11,6,0,31,12, ,3,5,9,17,29, ,7,53
6,Columbus Crew, ,34,15,7,12,44,44, ,11,3,3,28,21, ,4,4,9,16,23, ,0,52
7,Montreal Impact, ,34,12,6,16,45,51, ,10,3,4,31,19, ,2,3,12,14,32, ,-6,42
8,Philadelphia Union, ,34,10,6,18,37,45, ,7,2,8,22,20, ,3,4,10,15,25, ,-8,36
9,New England Revolution, ,34,9,8,17,39,44, ,7,6,4,23,15, ,2,2,13,16,29, ,-5,35
10,Toronto FC, ,34,5,8,21,36,62, ,3,5,9,15,25, ,2,3,12,21,37, ,-26,23
Western Conference, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,San Jose Earthquakes, ,34,19,9,6,72,43, ,10,6,1,43,22, ,9,3,5,29,21, ,29,66
2,Real Salt Lake, ,34,17,6,11,46,35, ,11,2,4,27,15, ,6,4,7,19,20, ,11,57
3,Seattle Sounders FC, ,34,15,11,8,51,33, ,11,2,4,27,11, ,4,9,4,24,22, ,18,56
4,Los Angeles Galaxy, ,34,16,6,12,59,47, ,10,1,6,31,20, ,6,5,6,28,27, ,12,54
5,Vancouver Whitecaps, ,34,11,10,13,35,41, ,8,6,3,25,17, ,3,4,10,10,24, ,-6,43
6,FC Dallas, ,34,9,12,13,42,47, ,6,8,3,21,16, ,3,4,10,21,31, ,-5,39
7,Colorado Rapids, ,34,11,4,19,44,50, ,8,3,6,29,19, ,3,1,13,15,31, ,-6,37
8,Portland Timbers, ,34,8,10,16,34,56, ,7,6,4,24,21, ,1,4,12,10,35, ,-22,34
9,Chivas USA, ,34,7,9,18,24,58, ,3,3,11,9,30, ,4,6,7,15,28, ,-34,30
